Genes	Modules
ENSMUSG00000040740	grey
ENSMUSG00000041028	grey
ENSMUSG00000041268	grey
ENSMUSG00000041459	grey
ENSMUSG00000041607	grey
ENSMUSG00000041645	grey
ENSMUSG00000041859	grey
ENSMUSG00000045917	grey
ENSMUSG00000045962	grey
ENSMUSG00000046186	grey
ENSMUSG00000046352	grey
ENSMUSG00000046671	grey
ENSMUSG00000046718	grey
ENSMUSG00000049288	grey
ENSMUSG00000049401	grey
ENSMUSG00000049775	grey
ENSMUSG00000050043	grey
ENSMUSG00000050296	grey
ENSMUSG00000050310	grey
ENSMUSG00000050335	grey
ENSMUSG00000050565	grey
ENSMUSG00000051391	grey
ENSMUSG00000051451	grey
ENSMUSG00000051853	grey
ENSMUSG00000052456	grey
ENSMUSG00000052833	grey
ENSMUSG00000052914	grey
ENSMUSG00000053040	grey
ENSMUSG00000053768	grey
ENSMUSG00000054008	grey
ENSMUSG00000054611	grey
ENSMUSG00000054717	grey
ENSMUSG00000054766	grey
ENSMUSG00000054808	grey
ENSMUSG00000055296	grey
ENSMUSG00000055850	grey
ENSMUSG00000056054	grey
ENSMUSG00000056071	grey
ENSMUSG00000057113	grey
ENSMUSG00000057236	grey
ENSMUSG00000057531	grey
ENSMUSG00000058152	grey
ENSMUSG00000058799	grey
ENSMUSG00000059248	grey
ENSMUSG00000059436	grey
ENSMUSG00000059447	grey
ENSMUSG00000059743	grey
ENSMUSG00000060373	grey
ENSMUSG00000060743	grey
ENSMUSG00000060802	grey
ENSMUSG00000061032	grey
ENSMUSG00000061306	grey
ENSMUSG00000062825	grey
ENSMUSG00000062901	grey
ENSMUSG00000062929	grey
ENSMUSG00000063358	grey
ENSMUSG00000063480	grey
ENSMUSG00000063694	grey
ENSMUSG00000064215	grey
ENSMUSG00000064337	grey
ENSMUSG00000064341	grey
ENSMUSG00000064363	grey
ENSMUSG00000064368	grey
ENSMUSG00000064370	grey
ENSMUSG00000066621	grey
ENSMUSG00000068744	grey
ENSMUSG00000069662	grey
ENSMUSG00000069919	grey
ENSMUSG00000070436	grey
ENSMUSG00000071054	grey
ENSMUSG00000071072	grey
ENSMUSG00000071172	grey
ENSMUSG00000071337	grey
ENSMUSG00000071644	grey
ENSMUSG00000071866	grey
ENSMUSG00000073411	grey
ENSMUSG00000073418	grey
ENSMUSG00000073725	grey
ENSMUSG00000073940	grey
ENSMUSG00000074037	grey
ENSMUSG00000074781	grey
ENSMUSG00000078429	grey
ENSMUSG00000081534	grey
ENSMUSG00000089715	grey
ENSMUSG00000091337	grey
ENSMUSG00000092274	grey
ENSMUSG00000092341	grey
ENSMUSG00000095041	grey
